,0,1,2,J SC (mA/cm2),V OC (V),FF (%),PCE (%)
28_1_10, P9 ,,,13.50,0.75,64.7,6.50
28_1_11, P9 ,,,14.15,0.75,64.6,6.84
29_2_0, r-PTTDPP50:PC61BM (1:2),,,5.12,0.683,39.1,1.36
29_2_1, r-PTTDPP75:PC61BM (1:2),,,1.52,0.502,35.5,0.27
29_2_2, r-PTTDPP50:PC71BM (1:2),,,8.65,0.606,36.6,1.92
29_2_3, r-PTTDPP50:PC71BM (1:2) a ,,,9.81,0.632,37.4,2.32
29_2_4,P3HT:PC61BM (1:1),,,7.91,0.605,62.1,2.97
29_2_5, r-PTTDPP50:P3HT:PC61BM (0.1:0.9:1),,,9.36,0.637,64.6,3.85
29_2_6, r-PTTDPP50:P3HT:PC61BM (0.2:0.8:1),,,8.50,0.615,65.5,3.43
29_2_7, r-PTTDPP50:P3HT:PC61BM (0.5:0.5:1),,,7.72,0.608,60.2,2.83
30_0_0,CF only,,,8.28,0.71,62,3.61 ± 0.01
30_0_1,CF:DCB = 1:0.5,,,11.24,0.69,62,4.83 ± 0.16
30_0_2,CF:DCB = 1:1,,,11.79,0.72,65,5.50 ± 0.09
30_0_3,CF:DCB = 1:2,,,8.73,0.73,52,2.94 ± 0.41
30_0_4,CF:DCB = 1:1(PC71BM),,,12.93,0.71,61,5.50 ± 0.03
31_0_0,PIIDBT,,,,,"765, a 788 b ",
31_0_1,PIIDFBT,,,,,"771, a 771 b ",
31_1_0, T annealing (°C),,, J sc (mA/cm2), V oc (V), FF (%),PCE (%)
31_1_1,PIIDBT,,,0.87,0% CN,7.50,57.68
31_1_2,200,,,8.51,0.87,61.91,4.58
31_1_3,PIIDFBT,,,1.01,0% CN,7.95,69.61
31_1_4,200,,,9.11,1.01,67.22,6.21
32_4_0,PHBCDPPC20,,,,,8.5 × 104 ,
32_4_1,PHBCDPPC8,,,,,1.2 × 104 ,
32_4_2,PHBCDPPF,,,,,105 ,
32_4_3,PHBCDPPDT,,,,,106 ,
32_5_0,PHBCDPPC20,,,6.53,0.92,35.3,2.12
32_5_1,PHBCDPPC8,,,7.67,0.88,34.4,2.32
32_5_2,PHBCDPPC8,,,10.38,0.86,31.8,2.85
32_5_3,PHBCDPPF,,,6.39,0.88,33.6,1.89
32_5_4,PHBCDPPDT,,,8.49,0.84,38.6,2.74
32_5_5,PHBCDPPDT,,,10.5,0.79,33.1,2.74
33_2_0, P2:PC71BM a ,,,10.75,0.78,0.55,4.66
33_2_1, P2:PC71BM b ,,,14.03,0.72,0.71,7.22
33_2_2, P1:PC71BM d ,,,9.04,0.88,0.54,4.40
33_2_3, P1:PC71BM d ,,,11.52,0.86,0.64,6.56
34_1_0,P(BDTT-TBDPPD): PC70BM (1:1 wt%) a ,,,8.64,0.87,48,3.39 ± 0.24
34_1_1,P(BDTT- TTBDPPD):PC70BM (1:1 wt%),,,8.19,0.89,61,4.26 ± 0.18
34_1_2,P(BDTT- TTBDPPD):PC70BM (1:2 wt%),,,8.94,0.90,67,5.21 ± 0.16
34_1_3,P(BDTT- TTBDPPD):PC70BM (1:3 wt%),,,7.99,0.90,64,4.49 ± 0.13
34_1_4,P(BDTT- TTBDPPD):PC70BM (1:4 wt%),,,6.59,0.89,62,3.51 ± 0.12
35_2_0,PA DIO 0%,,,7.033,0.918,41.361,2.670
35_2_1,PA DIO 5%,,,8.669,0.855,50.606,3.752
35_2_2,PB DIO 0%,,,6.722,0.759,41.256,2.104
35_2_3,PB DIO 5%,,,6.900,0.769,45.551,2.416
35_2_4,PC DIO 0%,,,3.077,0.889,52.970,1.448
35_2_5,PC DIO 1%,,,6.914,0.861,37.974,2.262
35_3_0,700,,,1.940,0.836,36.417,0.591
35_3_1,1000,,,8.669,0.855,50.606,3.752
35_3_2,3000,,,8.226,0.856,51.622,3.633
35_3_3,5000,,,7.372,0.859,54.983,3.483
35_3_4,7000,,,7.375,0.845,54.151,3.376
36_2_0, PHF ,,,12.46,0.84,0.69,7.20 (6.95)
36_2_1, PFH ,,,9.57,0.93,0.70,6.19 (5.96)
36_2_2, PFF ,,,4.61,0.92,0.68,2.90 (2.79)
37_2_0,As cast,,,10.96,0.68,0.55,4.10 (3.98) a 
37_2_1,SA-TA,,,16.12,0.65,0.72,7.54 (7.42) a 
39_1_0, T annealing (°C),,, J SC (mA/cm2), V OC (V), FF ,PCE (%)
39_1_1,PDPP-SS,,,>104 ,–,2.04,0.66
39_1_2,200 °C,,,DIO 2%,6.46,0.60,0.65
39_1_3,PDPP-TT,,,>107 ,–,5.24,0.65
39_1_4,200 °C,,,DIO 2%,7.26,0.64,0.73
39_1_5,PDPP-TTS,,,>104 ,–,2.32,0.67
39_1_6,200 °C,,,DIO 2%,6.16,0.65,0.70
39_1_7,PDPP-TSS,,,>104 ,–,2.77,0.67
39_1_8,200 °C,,,DIO 2%,9.96,0.62,0.68
39_1_9,PDPP-TTSS,,,>104 ,–,11.3,0.61
39_1_10,200 °C,,,DIO 2%,12.2,0.58,0.67
40_3_0,PBDPBT-T,,,7.01,0.80,56.2,7.01
40_3_1,Inverted,,,,57.7,4.32,
40_3_2,PBDPBT-TT,,,5.33,0.80,47.6,5.33
40_3_3,PBDPBT-biT,,,7.81,0.80,51.7,7.81
40_3_4,Inverted,,,,59.4,4.50,
41_1_0, PBDTS-FBT:PC70BM=1:1,,,4.48,0.65,29.43,0.86
41_1_1, PBDTS-FBT:PC70BM=1:1,,,3.78,0.69,30.92,0.81
41_1_2, PBDTS-FBT:PC70BM=1:1,,,6.65,0.80,30.30,1.42
41_1_3, PBDTS-FBT:PC70BM=1:1,,,4.56,0.83,28.20,1.07
41_1_4, PBDTS-FBT:PC70BM=1:2,,,3.09,0.60,30.94,0.57
41_1_5, PBDTS-DTFBT:PC70BM=1:1,,,6.46,0.74,38.72,1.85
41_1_6, PBDTS-DTFBT:PC70BM=1:1,,,6.90,0.75,37.91,1.96
41_1_7, PBDTS-DTFBT:PC70BM=1:1,,,8.27,0.83,46.42,3.19
41_1_8, PBDTS-DTFBT:PC70BM=1:1,,,6.55,0.84,50.20,2.76
41_1_9, PBDTS-DTFBT:PC70BM=1:2,,,5.69,0.71,43.97,1.78
41_1_10, PBDTS-DTFBT:PC70BM=1:3,,,3.07,0.62,40.06,0.92
41_1_11, PBDTS-TPD:PC70BM=1:1,,,2.93,0.66,29.65,0.57
41_1_12, PBDTS-TPD:PC70BM=1:2,,,4.88,0.63,37.92,1.17
41_1_13, PBDTS-TPD:PC70BM=1:2,,,4.14,0.81,43.22,1.45
41_1_14, PBDTS-TPD:PC70BM=1:2,,,5.23,0.93,41.61,2.14
41_1_15, PBDTS-TPD:PC70BM=1:3,,,3.48,0.68,41.32,0.98
41_1_16, PBDTS-DPP:PC70BM=1:1,,,5.76,0.75,34.78,1.48
41_1_17, PBDTS-DPP:PC70BM=1:2,,,6.72,0.72,37.69,1.82
41_1_18, PBDTS-DPP:PC70BM=1:2,,,6.27,0.66,35.30,1.46
41_1_19, PBDTS-DPP:PC70BM=1:2,,,7.79,0.78,39.62,2.41
41_1_20, PBDTS-DPP:PC70BM=1:3,,,5.99,0.72,37.66,1.63
42_0_0,,,,,,,
42_0_1, PDTTDPP-EH ,,,,,875,
42_0_2, PDTTDPP-BO ,,,,,892,
42_0_3, PDTTDPP-DT ,,,,,890,
42_1_0,,,,,,,
42_1_1, PDTTDPP-EH ,,,,,103 ,
42_1_2,200,,,,,6.13×10−3 ,
42_1_3, PDTTDPP-BO ,,,,,104 ,
42_1_4,200,,,,,7.65×10−3 ,
42_1_5, PDTTDPP-DT ,,,,,105 ,
42_1_6,200,,,,,6.88×10−2 ,
42_2_0, PDTTDPP-EH ,,,8,0.54,0.51,2.22
42_2_1,DIO 1%,,,0.54,0.59,2.21,
42_2_2, PDTTDPP-BO ,,,9.25,0.56,0.51,2.68
42_2_3,DIO 1%,,,0.55,0.54,2.93,
42_2_4, PDTTDPP-DT ,,,7.1,0.59,0.63,2.66
